EU195547 = Homo sapiens
EU170531 = Homo sapiens
EU195555 = Homo sapiens
AJ717666 = Homo sapiens
U21281 = Homo sapiens
AJ309706 = Homo sapiens
HM190181 = Homo sapiens
HM190171 = Homo sapiens
EF065625 = Homo sapiens
HM190174 = Homo sapiens
AJ311320 = Homo sapiens
AF100614 = Homo sapiens
AL645949 = Homo sapiens
Z49769 = Homo sapiens
AF306344 = Homo sapiens
AJ309829 = Homo sapiens
AC127089 = Homo sapiens
DQ384490 = Homo sapiens
AJ311328 = Homo sapiens
AB065463 = Homo sapiens
AJ311323 = Homo sapiens
L49173 = Homo sapiens
AC064824 = Homo sapiens
AC116610 = Homo sapiens
HM190178 = Homo sapiens
HM101239 = Homo sapiens
AF319172 = Homo sapiens
AC115538 = Homo sapiens
AF087941 = Homo sapiens
AF178219 = Homo sapiens
HM101241 = Homo sapiens
U46901 = Homo sapiens
AF325923 = Homo sapiens
HM101242 = Homo sapiens
AF239849 = Homo sapiens
AF077867 = Homo sapiens
Z74617 = Homo sapiens
HM101230 = Homo sapiens
DQ360815 = Homo sapiens
Y09852 = Homo sapiens
DQ026424 = Homo sapiens
AJ309833 = Homo sapiens
AC118275 = Homo sapiens
X65959 = Homo sapiens
AF449444 = Homo sapiens
AF112974 = Homo sapiens
AC106894 = Homo sapiens
AJ309843 = Homo sapiens
AJ272274 = Homo sapiens
HM190160 = Homo sapiens
GU320668 = Homo sapiens
EU170536 = Homo sapiens
AF135416 = Homo sapiens
AC113151 = Homo sapiens
EU195552 = Homo sapiens
DQ384493 = Homo sapiens
AB333777 = Homo sapiens
AF009802 = Homo sapiens
EU195551 = Homo sapiens
Z49250 = Homo sapiens
HE963048 = Homo sapiens
AC084866 = Homo sapiens
AJ311329 = Homo sapiens
AF521006 = Homo sapiens
AC108017 = Homo sapiens
AB007181 = Homo sapiens
Z49155 = Homo sapiens
AJ311325 = Homo sapiens
U34037 = Homo sapiens
AJ311332 = Homo sapiens
HE963049 = Homo sapiens
AJ309830 = Homo sapiens
AC108199 = Homo sapiens
HM190182 = Homo sapiens
Z68280 = Homo sapiens
HM190193 = Homo sapiens
AC107210 = Homo sapiens
AJ309842 = Homo sapiens
HM101234 = Homo sapiens
